<<<<<<< HEAD
[2021-03-10 15:41:04] main.ERROR: Error: Application is not installed yet.  [] []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-10 19:43:10] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
